file	key	main_line	main_value	lc1_line	lc1_value	evidence_class
core/gpt_oss20b_tc.py	parameter:sliding_sink_attention_tc:allowed_mask	0	ABSENT	374	None	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	assignment:ArenaCache._attempt:S	2733	self._cache_len()	0	ABSENT	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	assignment:ArenaCache._finish_attempt:S	0	ABSENT	4477	self._cache_len()	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	env:ArenaCache._lsr_fixes_enabled:'GRM_LSR_FIXES'	0	ABSENT	3080	os.environ.get('GRM_LSR_FIXES', '')	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	parameter:ArenaCache.__init__:decisive_admission	0	ABSENT	76	None	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	parameter:ArenaCache.__init__:ephemeral	53	False	76	None	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	parameter:ArenaCache.__init__:revision_resolution	53	False	76	None	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	parameter:ArenaCache._attempt:suspended	0	ABSENT	4280	None	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	parameter:ArenaCache._capture_geometry:pin	0	ABSENT	550	None	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	parameter:ArenaCache._identifier_bearing_children:with_binding_flag	0	ABSENT	3266	False	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	parameter:ArenaCache._rs3_seat_plan:seat_near_live	0	ABSENT	633	None	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	parameter:ArenaCache.capture_shift_for:pin	0	ABSENT	526	None	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	parameter:ArenaCache.deposit:capture_pin	0	ABSENT	837	None	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	parameter:ArenaCache.deposit_from_cache:capture_pin	0	ABSENT	869	None	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	parameter:ArenaCache.step._demand_trip:rows	0	ABSENT	3861	None	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	parameter:ArenaCache.step.fit:plan	0	ABSENT	3481	None	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	parameter:ArenaCache.step.fit_detail:plan	0	ABSENT	3466	None	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	parameter:ArenaCache.step:demand_early_abort	0	ABSENT	3317	None	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_arena.py	parameter:ArenaCache.step:demand_ngh	0	ABSENT	3317	None	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_repository.py	assignment:GraftRepository:WIDTH_GUARD_PARENT_KIND	0	ABSENT	1055	'era'	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_repository.py	assignment:GraftRepository:_SENTENCE_SPLIT	0	ABSENT	1085	re.compile('(?<=[.!?])\\s+|\\n+')	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_repository.py	parameter:GraftRepository._guard_deposit_range:boundary	0	ABSENT	1310	'section'	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_repository.py	parameter:GraftRepository._guard_deposit_width:boundary	0	ABSENT	1206	'section'	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_repository.py	parameter:GraftRepository._guard_deposit_width:budget	0	ABSENT	1206	None	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_repository.py	parameter:GraftRepository._width_fitting_chunks:boundary	0	ABSENT	1062	'section'	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_repository.py	parameter:GraftRepository._width_guard_spans:boundary	0	ABSENT	1126	'section'	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_repository.py	parameter:GraftRepository.configure_route_receipt_ledger:directory	0	ABSENT	521	None	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_repository.py	parameter:GraftRepository.configure_route_receipt_ledger:enabled	0	ABSENT	521	True	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_repository.py	parameter:GraftRepository.split_oversized:boundary	0	ABSENT	1332	'section'	See review production default table; constants/internal defaults do not independently certify behavior
core/graft_repository.py	parameter:GraftRepository.split_oversized:budget	0	ABSENT	1332	None	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	assignment::ABSTAIN_REASON_IDENTIFIER_UNBOUND	0	ABSENT	676	'identifier_unbound'	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	assignment::ABSTENTION_TEMPLATE	0	ABSENT	677	'Not in memory: no stored record matches {tokens}.'	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	assignment::ENV_NAME	0	ABSENT	23	'GRM_ADM_DECISIVE'	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	assignment::FROZEN_RULE_SHA256	0	ABSENT	24	'c304609f81475bd2ae3399ad180d3bb00cc5d2b44b1a49db570387c810defb91'	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	assignment::MARGIN_THRESHOLD	0	ABSENT	27	0.1385774091529802	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	assignment::RT1_ENV_NAME	0	ABSENT	180	'GRM_LSR_FIXES'	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	assignment::RT1_ONLY_ENV_NAME	0	ABSENT	189	'GRM_RT1_RULE'	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	assignment::RT1_RULE	0	ABSENT	170	"""a width-guard split child (or its index parent) that does not bind the question's identifier tokens in its OWN text never outranks a candidate that does, and a split member's binding is judged on its own text, never on the union surface inherited from its parent"""	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	assignment::_ENV_FALSE	0	ABSENT	30	frozenset(('0', 'false', 'no', 'off', ''))	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	assignment::_ENV_TRUE	0	ABSENT	29	frozenset(('1', 'true', 'yes', 'on'))	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	assignment::_RT1_OFF_TOKENS	0	ABSENT	191	('0', 'false', 'no', 'off')	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	env:env_adm_decisive_override:ENV_NAME	0	ABSENT	49	env.get(ENV_NAME, '')	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	env:rt1_enabled:RT1_ENV_NAME	0	ABSENT	217	os.environ.get(RT1_ENV_NAME, '')	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	env:rt1_enabled:RT1_ONLY_ENV_NAME	0	ABSENT	211	os.environ.get(RT1_ONLY_ENV_NAME)	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:adm_decisive_enabled:environ	0	ABSENT	57	None	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:adm_decisive_enabled:explicit	0	ABSENT	57	None	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:decisive_admission_profile:route_limit	0	ABSENT	345	None	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:env_adm_decisive_override:environ	0	ABSENT	37	None	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:fit_info_fields:served_without_plan_head	0	ABSENT	633	False	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:fit_info_fields:shuttle	0	ABSENT	633	False	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:fit_info_fields:shuttle_trips	0	ABSENT	633	()	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:mountable_budget:recency_reserve	0	ABSENT	740	0	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:policy_plan:margin_threshold	0	ABSENT	309	MARGIN_THRESHOLD	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:rt1_enabled:arena	0	ABSENT	194	None	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:rt1_info_fields:demoted	0	ABSENT	288	()	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:rt1_info_fields:ranking_before	0	ABSENT	288	()	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:rt1_info_fields:split_members	0	ABSENT	288	()	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:split_info_fields:chunk_trips	0	ABSENT	781	()	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:split_info_fields:descended_head	0	ABSENT	781	()	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:split_info_fields:split_children	0	ABSENT	781	()	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:split_info_fields:split_ephemeral	0	ABSENT	781	None	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_admission.py	parameter:split_info_fields:split_parent	0	ABSENT	781	None	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_demand.py	assignment::DEMAND_FETCH_SOURCE	0	ABSENT	74	'question_plus_prefix_reroute'	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_demand.py	assignment::DEMAND_INFO_PREFIX	0	ABSENT	78	'demand_'	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_demand.py	assignment::DEMAND_TRIP_CAP	0	ABSENT	68	1	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_demand.py	assignment::ENV_EARLY_ABORT	0	ABSENT	64	'GRM_DEMAND_EARLY_ABORT'	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_demand.py	assignment::ENV_NAME	0	ABSENT	49	'GRM_DEMAND_NGH'	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_demand.py	assignment::REGISTERED_CONFIG_PATH	0	ABSENT	46	ROOT / 'config' / 'grm_demand_registered.json'	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_demand.py	assignment::ROOT	0	ABSENT	45	Path(__file__).resolve().parents[1]	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_demand.py	assignment::_ENV_FALSE	0	ABSENT	51	frozenset(('0', 'false', 'no', 'off'))	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_demand.py	assignment::_ENV_TRUE	0	ABSENT	50	frozenset(('1', 'true', 'yes', 'on'))	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_demand.py	env:demand_enabled:ENV_NAME	0	ABSENT	193	env.get(ENV_NAME, '')	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_demand.py	env:early_abort_enabled:ENV_EARLY_ABORT	0	ABSENT	215	env.get(ENV_EARLY_ABORT, '')	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_demand.py	parameter:DemandObserver.__enter__.forward_wrapper:last_only	0	ABSENT	366	True	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_demand.py	parameter:DemandObserver.__enter__.sink_wrapper:attention_mask	0	ABSENT	332	None	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_demand.py	parameter:DemandObserver.__enter__.sink_wrapper:num_heads_per_kv	0	ABSENT	332	1	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_demand.py	parameter:DemandObserver.__enter__.sliding_wrapper:allowed_mask	0	ABSENT	349	None	See review production default table; constants/internal defaults do not independently certify behavior
core/grm_demand.py	parameter:DemandObserver.__enter__.sliding_wrapper:attn_block	0	ABSENT	349	128	See review production default table; constants/internal defaults do not independently certify behavior
